LOCAL,TIPO_ACID,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,HORA,DIA_SEM,TEMPO,REGIAO,HORA.1,ACID_GRAVE
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,1,0,0,0,MANHA,QUARTA-FEIRA,BOM,CENTRO,MANHA,SIM
Logradouro,COLISAO,1,0,0,1,0,0,0,0,0,0,NOITE,DOMINGO,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,1,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,NUBLADO,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,SEXTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,CHOQUE,0,0,0,0,0,0,0,1,0,0,NOITE,SABADO,BOM,LESTE,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,MADRUGADA,SABADO,BOM,LESTE,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,EVENTUAL,0,0,0,0,0,0,0,2,0,0,MADRUGADA,SABADO,CHUVOSO,LESTE,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,TARDE,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,TARDE,SEXTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,SEGUNDA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,1,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,BOM,CENTRO,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,0,1,0,0,0,0,0,1,0,0,MANHA,SEXTA-FEIRA,NUBLADO,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,0,0,0,0,0,0,1,1,0,0,MANHA,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,TARDE,TERCA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,SEXTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,1,0,0,TARDE,SEGUNDA-FEIRA,NUBLADO,SUL,TARDE,SIM
Logradouro,QUEDA,0,0,0,1,0,0,0,0,0,0,MANHA,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,DOMINGO,BOM,NORTE,NOITE,SIM
Cruzamento,QUEDA,0,0,0,0,0,0,0,1,0,0,MANHA,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,CHOQUE,0,0,0,0,0,0,0,1,0,0,TARDE,SEXTA-FEIRA,BOM,SUL,TARDE,SIM
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,LESTE,TARDE,SIM
Cruzamento,ABALROAMENTO,0,1,0,0,0,0,0,1,0,0,MADRUGADA,QUINTA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,MANHA,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,SEGUNDA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,MADRUGADA,SEGUNDA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Cruzamento,ABALROAMENTO,0,0,0,0,0,0,0,2,0,0,NOITE,QUINTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,0,0,0,0,1,0,0,1,0,0,TARDE,SABADO,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,SABADO,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,0,1,0,0,0,0,0,0,0,0,MADRUGADA,SEGUNDA-FEIRA,BOM,LESTE,MADRUGADA,SIM
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,NOITE,QUINTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,TARDE,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,LESTE,TARDE,SIM
Cruzamento,COLISAO,0,0,1,0,0,0,0,1,0,0,TARDE,SABADO,BOM,SUL,TARDE,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,MANHA,DOMINGO,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,1,0,0,0,TARDE,SEXTA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,SEGUNDA-FEIRA,BOM,LESTE,TARDE,SIM
Cruzamento,QUEDA,0,0,0,0,0,0,0,1,0,0,MANHA,SABADO,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,MANHA,DOMINGO,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,NUBLADO,CENTRO,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,MANHA,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,TARDE,SEXTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,QUINTA-FEIRA,CHUVOSO,NORTE,TARDE,SIM
Logradouro,COLISAO,2,1,0,0,0,0,0,0,0,0,MADRUGADA,DOMINGO,CHUVOSO,LESTE,MADRUGADA,SIM
Logradouro,QUEDA,0,0,0,1,0,0,0,0,0,0,MANHA,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,MADRUGADA,SABADO,BOM,SUL,MADRUGADA,SIM
Logradouro,EVENTUAL,0,0,0,0,0,0,0,2,0,0,MADRUGADA,SABADO,CHUVOSO,LESTE,MADRUGADA,SIM
Logradouro,CAPOTAGEM,1,0,0,0,0,0,0,0,0,0,MADRUGADA,SABADO,BOM,LESTE,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,0,1,0,0,0,0,0,0,0,0,NOITE,SEGUNDA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUINTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,CHOQUE,0,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,0,0,0,0,0,0,1,1,0,0,TARDE,SEXTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,TERCA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,1,1,0,0,0,0,0,0,0,0,NOITE,SEXTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,NUBLADO,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,SABADO,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,TARDE,TERCA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,SABADO,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,1,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,BOM,LESTE,MANHA,SIM
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,LESTE,TARDE,SIM
Cruzamento,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,SEXTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,SEXTA-FEIRA,CHUVOSO,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,DOMINGO,BOM,SUL,TARDE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,MADRUGADA,SABADO,BOM,SUL,MADRUGADA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,SEGUNDA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,NOITE,TERCA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,CHOQUE,0,0,0,0,0,0,0,1,0,0,NOITE,SABADO,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,NOITE,QUINTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,MADRUGADA,SABADO,BOM,LESTE,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,TARDE,QUINTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Cruzamento,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,0,0,0,0,0,0,1,1,0,0,NOITE,QUARTA-FEIRA,CHUVOSO,LESTE,NOITE,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,2,0,0,NOITE,SEGUNDA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,1,0,0,MANHA,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MADRUGADA,DOMINGO,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,NUBLADO,LESTE,MANHA,SIM
Logradouro,ABALROAMENTO,0,0,0,0,0,0,1,1,0,0,MANHA,SEXTA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,SABADO,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,0,1,0,0,0,0,0,1,0,0,MANHA,DOMINGO,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,SABADO,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,2,0,0,0,0,0,0,1,0,0,MANHA,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MADRUGADA,SEGUNDA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,CHOQUE,0,0,0,0,0,0,0,1,0,0,TARDE,DOMINGO,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,SEGUNDA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,NOITE,DOMINGO,BOM,NORTE,NOITE,SIM
Cruzamento,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,MANHA,SEXTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,NOITE,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ATROPELAMENTO,0,1,0,0,0,0,0,0,0,0,MADRUGADA,SEGUNDA-FEIRA,BOM,LESTE,MADRUGADA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,2,0,0,NOITE,TERCA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,DOMINGO,BOM,LESTE,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,TARDE,SEXTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,0,0,0,1,0,0,0,1,0,0,TARDE,DOMINGO,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,SEGUNDA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,CHUVOSO,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,SABADO,NUBLADO,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,0,1,0,0,0,0,0,1,0,0,MANHA,SEGUNDA-FEIRA,BOM,CENTRO,MANHA,SIM
Logradouro,ABALROAMENTO,0,0,0,0,0,0,1,0,0,1,NOITE,SEXTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,NOITE,SABADO,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MADRUGADA,SEGUNDA-FEIRA,BOM,NORTE,MADRUGADA,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,MANHA,SEXTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,DOMINGO,BOM,NORTE,MANHA,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,NOITE,DOMINGO,BOM,NORTE,NOITE,SIM
Logradouro,COLISAO,4,0,0,0,0,0,0,0,0,0,NOITE,DOMINGO,BOM,SUL,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Cruzamento,ABALROAMENTO,0,1,0,0,0,0,0,1,0,0,MADRUGADA,QUINTA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,0,0,0,MANHA,SABADO,BOM,LESTE,MANHA,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,NOITE,SABADO,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,1,1,0,0,0,0,0,0,0,0,MADRUGADA,SEXTA-FEIRA,BOM,CENTRO,MADRUGADA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUARTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,0,0,0,MANHA,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,SUL,TARDE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,0,0,0,1,0,0,0,1,0,0,MANHA,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,1,1,0,0,0,0,0,0,0,0,MADRUGADA,DOMINGO,BOM,LESTE,MADRUGADA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUINTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,DOMINGO,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,QUINTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUINTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,TARDE,SABADO,BOM,CENTRO,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,2,0,0,0,0,0,1,0,0,0,MANHA,SEGUNDA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,1,0,0,0,0,0,0,0,TARDE,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,TERCA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,TERCA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,LESTE,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,SEGUNDA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,COLISAO,1,0,0,0,0,0,0,1,0,0,NOITE,SABADO,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,1,1,0,0,NOITE,SEGUNDA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,NOITE,SEXTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ABALROAMENTO,0,0,0,0,0,0,0,1,0,1,MANHA,SEGUNDA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,TERCA-FEIRA,CHUVOSO,SUL,MANHA,SIM
Logradouro,CHOQUE,0,0,0,0,0,0,0,1,0,0,TARDE,DOMINGO,BOM,SUL,TARDE,SIM
Cruzamento,QUEDA,0,0,0,0,0,0,0,1,0,0,MANHA,DOMINGO,BOM,NORTE,MANHA,SIM
Logradouro,QUEDA,0,0,0,0,0,0,1,0,0,0,MANHA,SABADO,BOM,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUARTA-FEIRA,CHUVOSO,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MADRUGADA,SABADO,BOM,SUL,MADRUGADA,SIM
Logradouro,ABALROAMENTO,0,0,0,0,0,0,1,1,0,0,TARDE,SABADO,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,SEXTA-FEIRA,BOM,LESTE,TARDE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,MANHA,TERCA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,QUARTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,QUEDA,0,0,0,0,0,0,0,1,0,0,TARDE,TERCA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,SABADO,CHUVOSO,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,TARDE,SEXTA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,TARDE,QUINTA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,CHOQUE,1,0,0,0,0,0,0,0,0,0,MADRUGADA,SABADO,BOM,LESTE,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,TARDE,QUARTA-FEIRA,BOM,CENTRO,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MANHA,DOMINGO,CHUVOSO,SUL,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,SEGUNDA-FEIRA,BOM,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,NOITE,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,NOITE,DOMINGO,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,MANHA,TERCA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,COLISAO,2,0,0,0,0,0,0,0,0,0,TARDE,SABADO,NUBLADO,SUL,TARDE,SIM
Logradouro,CHOQUE,0,0,0,0,0,0,0,1,0,0,NOITE,SEXTA-FEIRA,BOM,SUL,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUINTA-FEIRA,CHUVOSO,SUL,NOITE,SIM
Cruzamento,ABALROAMENTO,2,0,0,0,0,0,0,1,0,0,TARDE,SABADO,BOM,SUL,TARDE,SIM
Cruzamento,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,SABADO,BOM,LESTE,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,TERCA-FEIRA,BOM,NORTE,TARDE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,BOM,SUL,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,QUARTA-FEIRA,BOM,CENTRO,NOITE,SIM
Logradouro,ABALROAMENTO,0,0,0,0,0,0,1,1,0,0,TARDE,SABADO,BOM,SUL,TARDE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,DOMINGO,BOM,LESTE,NOITE,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,QUINTA-FEIRA,BOM,SUL,NOITE,SIM
Cruzamento,QUEDA,0,0,0,0,0,0,0,1,0,0,MANHA,SABADO,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,0,0,0,0,0,0,0,1,0,0,TARDE,SABADO,BOM,NORTE,TARDE,SIM
Logradouro,COLISAO,3,0,0,0,0,0,0,0,0,0,MANHA,SEXTA-FEIRA,BOM,NORTE,MANHA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,TARDE,SABADO,BOM,SUL,TARDE,SIM
Logradouro,ATROPELAMENTO,0,0,0,1,0,0,0,0,0,0,MANHA,QUARTA-FEIRA,NUBLADO,CENTRO,MANHA,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,MADRUGADA,SEGUNDA-FEIRA,BOM,NORTE,MADRUGADA,SIM
Logradouro,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,0,NOITE,SEGUNDA-FEIRA,BOM,NORTE,NOITE,SIM
Logradouro,ABALROAMENTO,1,0,0,0,0,0,0,1,0,0,NOITE,TERCA-FEIRA,BOM,NORTE,NOITE,SIM
